Bairro,Vizinho,Logradouro,Tipo,Peso,Tipo Normalizado,Id Rua
Iputinga,Poço da Panela,Rua Doutor Virginio Marques,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/199663969
Iputinga,Apipucos,Rua São Mateus,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/836834973
Monteiro,Poço da Panela,Rua Muniz Galvão,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/377690559
Monteiro,Apipucos,Rua das Levadas,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/377690558
Morro da Conceição,Alto José Bonifácio,Rua do Dende,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/1088315864
Morro da Conceição,Vasco da Gama,Rua Itabaiana,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/1088315865
Beberibe,Linha do Tiro,Rua Taguatinga,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/317313994
Beberibe,Porto da Madeira,Quinta Travessa Aníbal Benévolo,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/142618024
Beberibe,Água Fria,Avenida Aníbal Benévolo,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/317313974
Beberibe,Dois Unidos,Rua Uriel de Holanda,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/142643464
Bomba do Hemetério,Mangabeira,Rua São Gabriel,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/377682940
Bomba do Hemetério,Alto Santa Teresinha,Rua Bomba do Hemetério,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/142610163
Bomba do Hemetério,Água Fria,Rua Julio Lima,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/377682897
Cajueiro,Campina do Barreto,Rua Couto Soares,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/142635680
Cajueiro,Fundão,Rua André Bezerra,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/142332907
Cajueiro,Porto da Madeira,Rua Maria Ramos,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/142635677
Campina do Barreto,Fundão,Rua Iguatu,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/166897918
Campina do Barreto,Água Fria,Rua Constança,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/317313983
Fundão,Porto da Madeira,Avenida Cidade de Monteiro,primary_link,1.2,Avenida principal,https://openstreetmap.org/way/905218475
Fundão,Água Fria,Rua Doutor Eudes Costa,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/142610434
Linha do Tiro,Alto Santa Teresinha,Rua Santa Mercedes,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/222819886
Linha do Tiro,Água Fria,Rua Sodrelândia,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/324072132
Linha do Tiro,Alto José Bonifácio,Rua Araquem,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/774651318
Linha do Tiro,Brejo de Beberibe,Rua Rio Igarapé,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/222819876
Linha do Tiro,Dois Unidos,Rua Rio Tinto,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/377687668
Porto da Madeira,Água Fria,Rua Belo Horizonte,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/144181860
Alto Santa Teresinha,Água Fria,Rua Andricora,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/650415140
Alto Santa Teresinha,Alto José Bonifácio,Rua Professor José Amarino dos Reis,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/317314005
Alto José Bonifácio,Vasco da Gama,Rua São Domingos Sávio,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/326426273
Alto José Bonifácio,Brejo de Beberibe,Rua Gustavo Barrozo,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/326426272
Córrego do Jenipapo,Macaxeira,Rua dos Coquinhos,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/243409581
Córrego do Jenipapo,Nova Descoberta,Rua Popular,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/243409564
Córrego do Jenipapo,Apipucos,Rua Erundina Negreiros de Araújo,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/317402249
Córrego do Jenipapo,Dois Irmãos,Rua Francisco Campos,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/243740824
Córrego do Jenipapo,Brejo da Guabiraba,Rua Três Morros,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/222819879
